track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0DuWDLjriRPjDRoPgaCslY,Adele,25,Love In The Dark,78,285935,False,0.331,0.341,9,-6.057,0,0.0309,0.528,0.0,0.109,0.152,109.821,4,british
3di5hcvxxciiqwMH1jarhY,Adele,21,Set Fire to the Rain,80,242973,False,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,4,british
6DEMMeWXfmFAXgDUMMzeg6,Adele,25,All I Ask,74,271800,False,0.591,0.28,4,-5.494,1,0.0283,0.889,0.0,0.124,0.348,141.916,4,british
0gplL1WMoJ6iYaPgMCL0gX,Adele,Easy On Me,Easy On Me,85,224694,False,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,4,british
3bNv3VuUOKgrf5hu3YcuRo,Adele,21,Someone Like You,81,285240,False,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,4,british
6VObnIkLVruX4UVyxWhlqm,Adele,Skyfall,Skyfall,78,286480,False,0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881,4,british
6O5TrlFWTYvznd9fMC0VvU,Adele,25,When We Were Young,79,290900,False,0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361,4,british
3Kkjo3cT83cw09VJyrLNwX,Adele,30,Oh My God,82,225148,False,0.534,0.725,1,-3.906,1,0.046,0.091,0.0,0.0264,0.55,88.098,4,british
4OSBTYWVwsQhGLF9NHvIbR,Adele,21,Rolling in the Deep,81,228093,True,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,4,british
563SfWAHJs4FBZMkRN0IFN,Adele,25,Send My Love (To Your New Lover),72,223078,False,0.688,0.533,6,-8.363,0,0.0865,0.0355,3.48e-06,0.172,0.567,164.069,4,british
46IZ0fSY2mpAiktS3KOqds,Adele,30,Easy On Me,82,224694,False,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,4,british
1Yk0cQdMLx5RzzFTYwmuld,Adele,25,Hello,74,295502,False,0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991,4,british
48CKzGWOC65n8a8kdANJV8,Paloma Faith,Only Love Can Hurt Like This (Slowed Down Version),Only Love Can Hurt Like This - Slowed Down Version,77,257743,False,0.554,0.854,6,-6.263,0,0.0567,0.102,9.26e-05,0.554,0.387,82.012,4,british
4IhTXiZLKATmwhMZIb1GQN,Tom Rosenthal,Z-Sides,Lights Are On,81,193749,False,0.44,0.04,3,-16.887,1,0.0322,0.981,0.465,0.111,0.249,135.965,4,british
62ke5zFUJN6RvtXZgVH0F8,Paloma Faith,A Perfect Contradiction (Outsiders' Expanded Edition),Only Love Can Hurt Like This,87,232893,False,0.566,0.885,8,-4.528,1,0.0818,0.0958,9.97e-05,0.334,0.304,90.99,4,british
3FAclTFfvUuQYnEsptbK8w,Amy Winehouse,Back To Black (Deluxe Edition),Back To Black,81,241293,True,0.403,0.422,7,-13.964,0,0.0373,0.134,2.05e-05,0.0861,0.378,122.728,4,british
6dGnYIeXmHdcikdzNNDMm2,The Beatles,Abbey Road (Remastered),Here Comes The Sun - Remastered 2009,82,185733,False,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,4,british
3BQHpFgAp4l80e1XslIjNI,The Beatles,Help! (Remastered),Yesterday - Remastered 2009,76,125666,False,0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.529,4,british
7iN1s7xHE4ifF5povM6A48,The Beatles,Let It Be (Remastered),Let It Be - Remastered 2009,77,243026,False,0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,4,british
4jKY4YtMxJXwEZbOiHn0IP,Seal,21st Century Soul Grooves & Slow Jams,Wishing on a Star,1,253533,False,0.344,0.717,2,-6.806,0,0.0423,0.128,1.63e-06,0.0772,0.436,186.159,4,british
22mkOWtVEgGrRB7YCXRiF6,YUNGBLUD;Machine Gun Kelly,Halloween Party 2022,acting like that,0,191066,True,0.522,0.9,0,-2.631,0,0.0719,6.98e-05,0.0,0.3,0.579,160.01,4,british
2Wzl4bZLjqFUOeZaGrTaVJ,YUNGBLUD,Drippy Drippy,parents,0,172026,True,0.594,0.833,9,-4.311,0,0.0507,0.00967,0.0,0.3,0.599,82.04,4,british
